Ticker,Date,Price,Size,Value,1M_Log_Ret,1M_Simple_Ret,Momentum,1Y Beta
MXAT,3/31/2024,162.7497,51693.8696,0.9667,,,0.9700,0.7400
MXAU,3/31/2024,1032.2622,1322609.5390,2.4122,,,0.6954,0.2600
MXBE,3/31/2024,83.8094,264973.0287,1.5301,,,0.9451,0.5600
MXBR,3/31/2024,1646.4000,659800.3500,1.4644,,,1.1877,0.7500
MXCA,3/31/2024,2093.0339,2255210.3870,2.0633,,,1.0499,0.7800
MXCH,3/31/2024,1668.2348,1767833.3720,3.9063,,,0.9899,0.4800
MXCL,3/31/2024,1039.4400,84961.4400,1.1773,,,0.9128,0.9700
MXCN,3/31/2024,7.0056,8560686.6520,1.1574,,,0.8467,0.5900
MXCO,3/31/2024,453.2500,14042.5100,0.9380,,,1.1835,0.9600
MXCZ,3/31/2024,13.0606,28304.5673,1.6271,,,0.7776,0.1900
MXDE,3/31/2024,188.4118,1918147.1460,1.6075,,,1.0458,0.7900
MXDK,3/31/2024,3335.7280,702397.0086,7.0491,,,1.2141,0.4500
MXEG,3/31/2024,113.9438,6904.0470,2.5870,,,1.4390,0.1200
MXES,3/31/2024,148.6825,632926.6663,1.4578,,,1.0577,0.6000
MXFI,3/31/2024,129.2497,195640.0313,1.6615,,,0.8926,0.6200
MXFR,3/31/2024,246.7966,3056479.8420,2.1128,,,1.0206,0.7100
MXGB,3/31/2024,2876.9219,2581387.4130,1.8309,,,0.9728,0.4500
MXGR,3/31/2024,5.8514,54024.0787,1.0802,,,1.3204,0.5200
MXHK,3/31/2024,1246.3771,501309.6400,0.8444,,,0.7951,0.3400
MXHU,3/31/2024,7.0549,24265.8284,1.0123,,,1.3313,0.4800
MXID,3/31/2024,0.4906,339401.1598,2.4845,,,0.9473,0.1400
MXIE,3/31/2024,74.3305,67461.0014,1.9929,,,1.0824,0.9100
MXIL,3/31/2024,225.8500,153175.9400,1.9617,,,1.2280,0.9200
MXIN,3/31/2024,31.6731,3124549.5050,4.2690,,,1.2899,0.2700
MXIT,3/31/2024,97.6498,669639.0357,1.4402,,,1.1811,0.7400
MXJP,3/31/2024,11.3179,5108854.7110,1.6728,,,1.1998,0.2900
MXKR,3/31/2024,0.6519,1419998.1780,1.1050,,,1.0794,0.4000
MXMX,3/31/2024,7076.7200,398119.9100,2.2294,,,1.0560,0.7800
MXMY,3/31/2024,101.7989,230020.8710,1.3920,,,1.0116,0.1400
MXNL,3/31/2024,294.0434,1054428.0470,3.4434,,,1.2044,1.0800
MXNO,3/31/2024,317.5905,217878.8561,1.7419,,,0.9703,0.3000
MXNZ,3/31/2024,95.2216,40372.5271,2.8290,,,0.9245,0.2000
MXPE,3/31/2024,1888.5100,100193.7400,2.2556,,,1.2608,1.2200
MXPH,3/31/2024,21.5165,126983.6122,1.7933,,,1.0575,0.1900
MXPL,3/31/2024,395.6657,126636.5861,1.1242,,,1.3221,0.8700
MXPT,3/31/2024,47.2325,55408.3057,1.7271,,,0.8405,0.4100
MXRU,3/31/2024,,103928.4400,,,,,
MXSE,3/31/2024,1860.7618,693842.1207,2.3970,,,1.0804,0.8000
MXSG,3/31/2024,1011.4364,346844.3534,1.3745,,,0.9194,0.4500
MXTH,3/31/2024,12.6358,290770.2164,1.7130,,,0.8562,0.2200
MXTR,3/31/2024,298967.0145,126513.5452,2.0559,,,1.2352,0.4600
MXTW,3/31/2024,25.0963,1548104.2260,2.7604,,,1.2066,0.3500
MXUS,3/31/2024,5008.1700,48226202.5400,4.8696,,,1.2300,1.1900
MXZA,3/31/2024,78.7562,245696.6128,1.4815,,,0.8840,0.6100
MXAT,2/29/2024,150.6600,48359.1771,0.9005,0.0772,0.0802,1.1065,0.8200
MXAU,2/29/2024,1007.8298,1287016.6040,2.3643,0.0240,0.0242,0.7144,0.2600
MXBE,2/29/2024,80.2548,251452.3035,1.4668,0.0433,0.0443,0.9571,0.6100
MXBR,2/29/2024,1688.4000,667467.0100,1.5957,-0.0252,-0.0249,1.2117,0.7700
MXCA,2/29/2024,2014.0301,2186594.9910,1.9383,0.0385,0.0392,1.0722,0.7500
MXCH,2/29/2024,1655.3343,1758297.9540,3.7715,0.0078,0.0078,1.0659,0.5100
MXCL,2/29/2024,1029.1500,83728.7200,1.2454,0.0099,0.0100,0.8428,0.9500
MXCN,2/29/2024,6.9408,8584933.2160,1.1940,0.0093,0.0093,0.7405,0.6900
MXCO,2/29/2024,417.7800,12694.0200,0.8646,0.0815,0.0849,1.2272,0.9100
MXCZ,2/29/2024,12.6381,27219.0374,1.6348,0.0329,0.0334,0.8605,0.2500
MXDE,2/29/2024,181.1700,1857193.1670,1.5334,0.0392,0.0400,1.0365,0.8300
MXDK,2/29/2024,3160.2620,670883.8677,6.6865,0.0540,0.0555,1.2187,0.4200
MXEG,2/29/2024,169.9398,10644.7177,2.7864,-0.3997,-0.3295,1.7166,0.2100
MXES,2/29/2024,133.8444,602107.8223,1.3171,0.1051,0.1109,1.0905,0.6200
MXFI,2/29/2024,131.8572,199639.3672,1.6944,-0.0200,-0.0198,0.9225,0.6400
MXFR,2/29/2024,239.1660,2968276.6630,2.0470,0.0314,0.0319,1.0360,0.7600
MXGB,2/29/2024,2765.5123,2480665.7990,1.6912,0.0395,0.0403,1.0295,0.4600
MXGR,2/29/2024,6.0156,55446.2502,0.8226,-0.0277,-0.0273,1.3236,0.5800
MXHK,2/29/2024,1340.1336,558559.0768,0.9225,-0.0725,-0.0700,0.7634,0.3500
MXHU,2/29/2024,7.2595,24876.4855,1.0592,-0.0286,-0.0282,1.4491,0.5300
MXID,2/29/2024,0.4961,341781.4895,2.3413,-0.0112,-0.0112,0.9735,0.1400
MXIE,2/29/2024,70.5672,64191.6350,1.9009,0.0520,0.0533,1.0690,0.9400
MXIL,2/29/2024,222.6800,151994.3800,2.0778,0.0141,0.0142,1.1069,0.9300
MXIN,2/29/2024,31.4177,3042509.7980,4.2106,0.0081,0.0081,1.3096,0.3000
MXIT,2/29/2024,91.0332,628540.5892,1.3758,0.0702,0.0727,1.1511,0.7900
MXJP,2/29/2024,11.0423,5017985.5530,1.6200,0.0247,0.0250,1.1684,0.3000
MXKR,2/29/2024,0.6199,1364504.4770,1.0273,0.0503,0.0516,1.0065,0.4000
MXMX,2/29/2024,6716.1700,377420.5700,2.1186,0.0523,0.0537,1.1131,0.8000
MXMY,2/29/2024,102.3482,221432.8229,1.4073,-0.0054,-0.0054,0.9738,0.1600
MXNL,2/29/2024,283.5432,1018379.4880,3.2657,0.0364,0.0370,1.1247,1.1300
MXNO,2/29/2024,309.4805,210925.3769,1.5577,0.0259,0.0262,1.0184,0.3000
MXNZ,2/29/2024,96.6210,40928.8910,2.8224,-0.0146,-0.0145,0.9390,0.2000
MXPE,2/29/2024,1710.0900,80255.3900,1.9956,0.0992,0.1043,1.1817,1.1800
MXPH,2/29/2024,21.8212,128680.3690,1.8461,-0.0141,-0.0140,1.0114,0.1900
MXPL,2/29/2024,392.5311,126941.0048,1.1937,0.0080,0.0080,1.4082,0.8800
MXPT,2/29/2024,48.8700,57751.7061,1.8051,-0.0341,-0.0335,0.9257,0.3900
MXRU,2/29/2024,,89964.0700,,,,,
MXSE,2/29/2024,1861.8824,689570.4571,2.3275,-0.0006,-0.0006,1.0637,0.8000
MXSG,2/29/2024,972.5767,337989.3135,1.3212,0.0392,0.0400,0.8977,0.5000
MXTH,2/29/2024,12.7421,297776.4809,1.7041,-0.0084,-0.0083,0.8250,0.2300
